sn,cpu_milli,memory_mib,gpu,model
openb-node-0000,256000,2097152,4,A100
openb-node-0001,256000,2097152,4,A100
openb-node-0002,256000,2097152,4,A100
openb-node-0003,256000,2097152,4,A10
openb-node-0004,256000,2097152,4,A10
openb-node-0005,256000,2097152,4,A10
openb-node-0006,256000,2097152,4,A10
openb-node-0007,256000,2097152,4,A10
openb-node-0008,256000,2097152,4,A10
openb-node-0009,256000,2097152,4,A10
openb-node-0010,256000,2097152,4,A10
openb-node-0011,256000,2097152,4,A10
openb-node-0012,256000,2097152,4,A10
openb-node-0013,128000,1048576,0,
openb-node-0014,128000,1048576,0,
