name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,prob
openb-pod-0000,16000,32768,1,1000,A10,0.0334
openb-pod-0001,16000,32768,1,1000,A10,0.1335
openb-pod-0002,12000,65536,0,0,,0.1667
openb-pod-0003,32000,524288,2,1000,A100,0.0334
openb-pod-0004,8000,32768,1,1000,A10,0.1335
openb-pod-0005,32000,131072,1,500,A100,0.1667
openb-pod-0006,16000,65536,0,0,,0.1667
openb-pod-0007,16000,12288,1,666,A10,0.011
openb-pod-0008,32000,40960,2,1000,A10,0.011
openb-pod-0009,32000,65536,4,1000,A10,0.011
openb-pod-0010,8000,12288,1,666,A10,0.0444
openb-pod-0011,16000,40960,2,1000,A10,0.0444
openb-pod-0012,32000,65536,4,1000,A10,0.0444
